STATION_NAME	RIVER_NAME	LOCATION	lon	lat	STATUS	FIRST_YR	LAST_YR	TOTAL_YRS	MISS_YRS
S-19000800202	Fawn River	Below Big Trout Lake	-89.56245649	53.76141065	I	1983.00	1983.00	1.00	0.00
S-19006401802	Five Mile Creek	Mouth in town of Mattice	-83.25624049	49.61211639	I	1972.00	1978.00	7.00	0.00
S-19006401702	Gough Creek	W. of Brunelle Rd. S, S. of Hwy 11, Kapuskasing	-82.40849023	49.39950339	I	1972.00	1995.00	12.00	12.00
S-19006401602	Groundhog River	Hwy 11, bridge in Farquier	-82.04172111	49.31332027	I	1972.00	1990.00	18.00	1.00
S-19000103301	Howey Bay	500ft from shore, Howey Bay, Red Lake	-93.81785525	51.02265777	I	1972.00	1996.00	25.00	0.00
S-19006401902	Ivanhoe River	Hwy 101 and railway bridge, Foloyet	-82.44805748	48.24746214	I	1973.00	1983.00	2.00	9.00
S-19006400902	Kapuskasing River	Upstrm Spruce Falls Paper Company, S. of Hwy 11	-82.43345186	49.40634539	I	1968.00	1982.00	15.00	0.00
S-19006401002	Kapuskasing River	At Sturgeon Falls, dwnstrm Spruce Paper Company	-82.44651098	49.44713252	I	1968.00	1978.00	11.00	0.00
S-19006402402	Kapuskasing River	downstream kapuskasing	-82.32004361	49.57271389	I	1978.00	1995.00	17.00	1.00
S-19006402902	Kapuskasing River	Upstrm Lost River	-82.35793836	49.55727002	I	1983.00	1987.00	4.00	1.00
S-19006403402	Kapuskasing River	Spruce Falls Mill intake, below Hwy 11	-82.42961336	49.41037789	I	1980.00	1995.00	16.00	0.00
S-19006403502	Kapuskasing River	20M dwnstrm Spruce Falls Mill	-82.25164448	49.62622614	I	1980.00	1985.00	6.00	0.00
S-19006404002	Kapuskasing River	Upstrm Saganash River, Kapuskasing	-82.48117561	49.36403927	I	1985.00	1985.00	1.00	0.00
S-19005300602	Kenogami River	Near Mammamattawa	-84.37947799	50.40926702	I	1983.00	1983.00	1.00	0.00
S-19006403802	Kwataboahegan River	Near the mouth	-80.83116811	51.15235140	I	1983.00	1984.00	2.00	0.00
S-19005300202	Little Current River	At Percy Lake	-86.51496911	50.66096477	I	1983.00	1983.00	1.00	0.00
S-19006400102	Mattagami River	Dwnstrm Timmins STP,  Timmins	-81.36039561	48.49387352	A	1968.00	2016.00	24.00	25.00
S-19006400202	Mattagami River	Hwy 101 bridge (Riverside Dr), Timmins	-81.35029148	48.47605802	I	1968.00	1996.00	28.00	1.00
S-19006401102	Mattagami River	Hwy 11, Smooth Rock Falls	-81.63906873	49.27596027	I	1968.00	1994.00	25.00	2.00
S-19006401202	Mattagami River	Dnstr Abitibi Paper, Smooth Rock Fall	-81.63857161	49.29270902	I	1968.00	1978.00	11.00	0.00
S-19006401420	Mattagami River	Timmins waterworks plant, N Hwy 101	-81.35320186	48.47479377	A	1972.00	2016.00	17.00	28.00
S-19006403302	Mattagami River	21Km N. of Hwy 11, W. of Hwy 634	-81.65359311	49.44903714	I	1980.00	1987.00	7.00	1.00
S-19006403902	Mattagami River	10km North of Hwy 11	-81.62756998	49.36280527	I	1984.00	1987.00	3.00	1.00
S-19006402702	Mattawishkwia River	Kendall Creek, S. of Hwy 11, SE of Hearst	-83.54113186	49.64457614	I	1983.00	1984.00	2.00	0.00
S-19006400802	Mattawishkwia River	Hwy 11, Town of Hearst	-83.63317811	49.68504652	I	1968.00	1996.00	25.00	4.00
S-19006402502	Mattawishkwia River	S. of Hwy 11, S. of Hearst	-83.72365024	49.68171202	I	1978.00	1996.00	15.00	4.00
S-19006402602	Mattawishkwia River	Prune Creek at Jogues, Camire Rd, S of Hearst	-83.74527824	49.59329652	I	1983.00	1989.00	3.00	4.00
S-19006401302	Missinaibi River	Hwy 11, Mattice	-83.26863974	49.61499239	I	1968.00	1995.00	18.00	10.00
S-19006402002	Nebskwashi River	Inlet to Chapleau Lake,  W. of Hwy 101	-83.36970986	47.85066152	I	1973.00	1973.00	1.00	0.00
S-19006402102	Nebskwashi River	Cedar St, E. of Hwy 129, Chapleau	-83.39563211	47.84003839	I	1973.00	1973.00	1.00	0.00
S-19006404602	North Driftwood Creek	Hwy 101, W of Shillington	-80.74202536	48.53771677	I	1991.00	1996.00	6.00	0.00
S-19006403702	North French River	Near the mouth	-80.76499036	51.10609265	I	1983.00	1983.00	1.00	0.00
S-19005300402	Ogoki River	Upstrm Whiteclay Lake	-88.84998512	50.93177890	I	1983.00	1983.00	1.00	0.00
S-19004300302	Pineimuta River	At Eyes Lake	-88.69048887	52.20281327	I	1983.00	1983.00	1.00	0.00
S-19001800302	Pipestone River	At Karl Lake	-90.18121887	52.57062865	I	1983.00	1983.00	1.00	0.00
S-19006400302	Porcupine River	Hwy 101, outlet of Porcupine Lk, Porcupine	-81.17503686	48.49504452	I	1968.00	2005.00	30.00	8.00
S-19006400402	Porcupine River	Hwy 101 bridge, Hoyle	-81.05480486	48.54983827	A	1968.00	2016.00	40.00	9.00
S-19006404502	Porcupine River	Hwy 101, upstrm of Porcupine Lk, South Porcupine	-81.22226798	48.48242452	A	1991.00	2016.00	16.00	10.00
S-19000103401	Rainy River	Hwy 11, Noden causeway, Couchiching	-93.30349362	48.65264439	I	1975.00	1977.00	3.00	0.00
S-19000103902	Rainy River	Upstream toll bridge at Fort Francis	-93.36358324	48.61327864	I	1990.00	1992.00	3.00	0.00
S-19000800302	Roseberry River	Upstrm Roseberry Lakes	-92.59748099	52.73312277	I	1983.00	1983.00	1.00	0.00
S-19000800602	Sachigo River	Dwnstrm outlet	-84.25738099	53.10455802	I	1983.00	1983.00	1.00	0.00
S-19000800802	Sandy Lake	Sandy Lake, Sandy Lk on-Pikangikum,on, Kenora	-93.24479374	53.03085652	I	1983.00	1983.00	1.00	0.00
S-19000800102	Severn River	At outlet of Muskrat River	-91.81571587	53.29997452	I	1983.00	1983.00	1.00	0.00
S-19000800402	Severn River	Dwnstrm outlet, below outlet of Deer Lake	-94.15277500	52.71781577	I	1983.00	1983.00	1.00	0.00
S-19001800102	Shamattawa River	Winisk River dwnstrm Ashweig River	-87.29166699	54.65422502	I	1983.00	1983.00	1.00	0.00
S-19000103702	Snib Creek	Mouth of St. Pauls Bay	-93.88552287	51.01302440	I	1982.00	1984.00	3.00	0.00
S-19000103502	Wabigoon River	Minnitaki Sideroad, N of Hwy 17, W of Hwy 605	-93.09036537	49.85100477	I	1980.00	1996.00	17.00	0.00
S-19000103602	Wabigoon River	Hwy 609, W of Hwy 105, near Quibell	-93.40124274	49.95861227	I	1980.00	1996.00	17.00	0.00
S-19000103802	Wabigoon River	Hwy 17, W of Hwy 665, NW of Dryden	-92.87398374	49.81511964	I	1987.00	1995.00	9.00	0.00
S-19000800502	Windigo River	Upstrm Muskrat River	-91.82078774	53.29393102	I	1983.00	1983.00	1.00	0.00
S-01000000101	Lake Superior	Inside Lakehead Harbour, Thunder Bay	-89.17889024	48.44882927	I	1968.00	1995.00	28.00	0.00
S-01000000201	Lake Superior	Off mouth of Kaministiquia River	-89.19999937	48.39349402	I	1968.00	1995.00	28.00	0.00
S-01000000301	Lake Superior	Near pulp mill, N. of Mission Bay, Thunder Bay	-89.20470774	48.34985039	I	1969.00	1995.00	27.00	0.00
S-01000000401	Lake Superior	Near Prov. Mill, Thunder Bay	-89.16637824	48.44826264	I	1969.00	1995.00	27.00	0.00
S-01000000501	Lake Superior	Near Abitibi Thunder Bay Paper Mill slip	-89.15968749	48.46950027	I	1969.00	1995.00	27.00	0.00
S-01000000601	Lake Superior	Abitibi Thunder Bay Paper Mill ditch	-89.16531912	48.46448877	I	1972.00	1995.00	24.00	0.00
S-01000000701	Lake Superior	3.5 MI NE of Welcome Island lighthouse	-89.08584987	48.39646002	I	1977.00	1995.00	19.00	0.00
S-01000000801	Lake Superior	5 mil SE of Welcome Island lighthouse	-89.02358987	48.32560002	I	1977.00	1977.00	1.00	0.00
S-01000001001	Lake Superior	2.5 Km E of McKellar Island	-89.16320987	48.37299002	I	1978.00	1995.00	18.00	0.00
S-01000001101	Lake Superior	2 km E of Northern Wood Preservers	-89.16459987	48.42155002	I	1978.00	1995.00	18.00	0.00
S-01000001201	Lake Superior	E of Mission Bay Dredge Disposal	-89.19507287	48.34083889	I	1985.00	1995.00	11.00	0.00
S-01000001301	Lake Superior (Nipigon Bay)	N of Red Rock WTP Intake	-88.24701961	48.95745889	I	1985.00	1986.00	2.00	0.00
S-01000001401	Lake Superior (Nipigon Bay)	E. of CPR, W. of Honeymoon Cove	-88.23800524	48.94213664	I	1985.00	1986.00	2.00	0.00
S-01000001501	Lake Superior	2000 m NE of Burnt Island	-88.18014974	48.92638214	I	1985.00	1986.00	2.00	0.00
S-01000001601	Lake Superior (Jackfish Bay)	900 m out from CPR Tunnel, Tunnel Bay	-86.96132686	48.81014852	I	1985.00	1986.00	2.00	0.00
S-01000001701	Lake Superior (Jackfish Bay)	100m from mouth of Blackbird Ck	-87.00267436	48.81250564	I	1980.00	1986.00	3.00	4.00
S-01000001801	Lake Superior	600m from mouth of Blackbird Ck, Moberley Bay	-86.99998824	48.80840914	I	1985.00	1986.00	2.00	0.00
S-01000001901	Lake Superior	100 m W of Hawkins Island	-86.43331611	48.72389077	I	1986.00	1986.00	1.00	0.00
S-01000002001	Lake Superior	NW of Marathon WPCP	-86.39714074	48.71173302	I	1986.00	1986.00	1.00	0.00
S-01000100102	Silver Creek	Hwy 17, Hibbard Bay	-84.76807211	47.01804352	I	1972.00	1973.00	2.00	0.00
S-01000900102	Montreal River	Hwy 17, N. of Sault Ste. Marie	-84.64523899	47.23823652	I	1972.00	2005.00	19.00	15.00
S-01001200102	Agawa River	Hwy 17, Agawa Bay	-84.63681149	47.35789089	I	1973.00	1988.00	15.00	1.00
S-01001400102	Sand River	Hwy 17, 13 km N of Agawa River	-84.73125886	47.43214127	I	1985.00	1988.00	4.00	0.00
S-01002700102	Old Women River	Hwy 17, Wawa	-84.89417299	47.79061189	I	1973.00	1975.00	3.00	0.00
S-01002900102	Michipicoten River	Hwy 17, S of Wawa	-84.80475174	47.92257302	I	1969.00	2005.00	25.00	12.00
S-01002900202	Magpie River	Hwy 17, W of Wawa	-84.79565711	47.98124439	I	1969.00	1984.00	15.00	1.00
S-01002900302	Wawa Creek	Hwy 17, S of Wawa	-84.81075674	47.93784177	I	1969.00	1990.00	14.00	8.00
S-01002900402	Wawa Creek	Hwy 101, Wawa	-84.76460774	47.99108527	I	1969.00	1990.00	14.00	8.00
S-01002900502	Magpie River	E. of Michipicoten Bay, W. of Hwy 17	-84.82965799	47.93929689	I	1973.00	1990.00	16.00	2.00
S-01002900602	Magpie River	Upstrm Wawa lagoons, Upstrm Hwy 17	-84.79140599	47.98822014	I	1982.00	1990.00	9.00	0.00
S-01002900702	Magpie River	S. of Hwy 519, Dubreuilville	-84.62037899	48.34928389	I	1987.00	1990.00	4.00	0.00
S-01002900802	Magpie River	E of Hwy 17, dwnstrm Dubreuilville, NW of Wawa	-84.80706999	48.01470452	I	1987.00	1990.00	4.00	0.00
S-01002900902	Magpie River	Bridge in Dubreuilville	-84.53778999	48.35872339	I	1988.00	1990.00	3.00	0.00
S-01005700102	White River	Hwy 17	-85.53685061	48.69792314	I	1973.00	1994.00	22.00	0.00
S-01005700202	Hayward Creek	Dwnstrm Lim Lake at forest access rd	-85.89292724	48.65386802	I	1986.00	1996.00	11.00	0.00
S-01006000102	Pic River	Hwy 17	-86.28363099	48.70728689	I	1973.00	2011.00	39.00	0.00
S-01006000202	Black River	Hwy 17, W of Hemlo	-86.21262361	48.68790552	I	1973.00	2011.00	39.00	0.00
S-01006000302	Black River	Hwy 614, S of Agonzon, Ontario Pulp and Paper Rd	-85.87965299	48.87757277	I	1976.00	1996.00	21.00	0.00
S-01006000402	Black River	1.5km dwnstrm Mose Lake	-85.74646349	49.13228677	I	1976.00	1996.00	21.00	0.00
S-01006000502	Fox Creek	Manitou Rd (Hwy 614), Manitouwadge Lake	-85.79576449	49.13302714	I	1976.00	1996.00	21.00	0.00
S-01006000602	Black River	Upstrm Mose Lake	-85.74193224	49.14009127	I	1977.00	1996.00	20.00	0.00
S-01006000702	Rudder Creek	5km W of Hwy 614	-85.90612711	49.11673927	I	1977.00	1994.00	17.00	1.00
S-01010800102	Kaministiquia River	James St (Hwy 61B), Thunder Bay	-89.28760749	48.35863464	A	1966.00	2015.00	48.00	2.00
S-01010800202	Kaministiquia River	Upstrm James St (Hwy 61B) bridge, Thunder Bay	-89.30564887	48.34543877	I	1966.00	1996.00	31.00	0.00
S-01010800302	Kaministiquia River	Middle of turning basin, Thunder Bay	-89.30183912	48.35241464	I	1968.00	1995.00	28.00	0.00
S-01010800402	Kaministiquia River	Near mouth, Thunder Bay	-89.21905662	48.39231914	I	1978.00	1996.00	19.00	0.00
S-01010800502	Kaministiquia River	Upstrm McKellar and Mission Rivers, Thunder Bay	-89.24866737	48.37105902	I	1968.00	1996.00	29.00	0.00
S-01010900102	McKellar River	104th Ave, Thunder Bay	-89.23996924	48.37708439	I	1966.00	1996.00	28.00	3.00
S-01010900202	McKellar River	Near mouth, Thunder Bay	-89.21224287	48.37734877	I	1968.00	1996.00	29.00	0.00
S-01011000102	Mission River	Near mouth, Thunder Bay	-89.22809987	48.35916002	I	1968.00	1996.00	29.00	0.00
S-01011500102	Cloud River	First bridge upstrm Cloud Bay	-89.44608599	48.08446177	I	1973.00	1975.00	3.00	0.00
S-01011600102	Pine River	Hwy 61	-89.53520499	48.06773352	I	1973.00	1975.00	3.00	0.00
S-01011700102	Pigeon River	Hwy 593, Pigeon River	-89.70833474	48.01045027	I	1973.00	1978.00	6.00	0.00
S-02000600102	Bar River	Driftwood Rd, W of Hwy 17	-84.08864586	46.42512514	I	1973.00	1992.00	9.00	11.00
S-02000700102	Echo River	Pioneer Rd, North of Hwy 638, Echo Bay	-84.04526836	46.50886402	I	1973.00	1992.00	9.00	11.00
S-03001500102	Pottawatomi River	4th Ave, S of 15 St W, Owen Sound	-80.95130623	44.57459664	I	1964.00	1978.00	14.00	1.00
S-03001500202	Pottawatomi River	14th St, Owen Sound	-80.96008648	44.57429939	A	1975.00	2016.00	37.00	5.00
S-03001500302	Pottawatomi River	Eddie Sargent Pkwy, Owen Sound	-80.94776761	44.57549176	I	1977.00	1979.00	3.00	0.00
S-03001600102	Sydenham River	10th St W, E of 1st Ave W, Owen Sound	-80.94423586	44.56757676	I	1964.00	1979.00	11.00	5.00
S-03001600202	Sydenham River	8th St E, W of 2nd Ave E, Owen Sound	-80.94420186	44.56367864	I	1972.00	1975.00	4.00	0.00
S-03001600302	Sydenham River	Grey Cnty Rd 18, upstrm Inglis Falls	-80.93089011	44.52217814	A	1975.00	2016.00	37.00	5.00
S-03001600402	Spey River	Hwy 6 & 10, N of Sideroad 1, N of Chatsworth	-80.90539448	44.46831451	I	1975.00	1979.00	5.00	0.00
S-03001700102	Telfer Creek	Cnty Rd 15 bridge, Village of Leith	-80.87678861	44.62545539	I	1964.00	1971.00	8.00	0.00
S-03001700202	Telfer Creek	Thompson Memorial Footbridge, Leith	-80.87577098	44.62385189	A	1972.00	2016.00	40.00	5.00
S-03001800102	Keefer Creek	Conc Rd 6N, N of Sideroad 24, E of Leith	-80.83047648	44.62463989	I	1995.00	1996.00	2.00	0.00
S-03002000102	Waterton Creek	Lakeshore Dr, W of Queens Bush Rd, W of Balaclava	-80.78450686	44.68145801	I	1965.00	1975.00	4.00	7.00
S-03002700102	Orchard Creek	Lakeshore Dr, S of Centreville Rd, NW of Meaford	-80.61122861	44.62377089	I	1964.00	1978.00	9.00	6.00
S-03003000102	Bighead River	Bridge St, E of Sykes St N, Meaford	-80.58909573	44.60730876	I	1964.00	1975.00	12.00	0.00
S-03003000202	Bighead River	Sideroad 13, St. Vincent Twp, S of Oxmead	-80.64850398	44.56987776	A	1975.00	2016.00	37.00	5.00
S-03003600102	Beaver River	Bay St, N of Hwy 26, Thornbury	-80.44896523	44.56411851	I	1964.00	1996.00	21.00	12.00
S-03003600202	Beaver River	Railroad bridge, Thornbury	-80.45077698	44.56281914	I	1972.00	1987.00	14.00	2.00
S-03003600302	Beaver River	Cnty Rd 7, North Channel, N of Kimberly	-80.53847386	44.39353514	I	1975.00	1978.00	4.00	0.00
S-03003600402	Beaver River	Cnty Rd 7, South Channel, N of Kimberly	-80.53801061	44.39176864	I	1975.00	1978.00	4.00	0.00
S-03003600502	Boyne River	East Back Ln, dwnstrm Flesherton	-80.54585836	44.27958714	A	1975.00	2016.00	37.00	5.00
S-03003600602	Beaver River	Cnty Rd 2, S of Concession Rd 10, Feversham	-80.37770336	44.33798964	I	1978.00	1996.00	19.00	0.00
S-03003600702	Beaver River	Concession Rd 10, E of Cnty Rd 2, NE of Feversham	-80.36840023	44.35390976	I	1978.00	1996.00	19.00	0.00
S-03003600802	Beaver River	8th Line, E of Cnty Rd 2, SE of Feversham	-80.36302361	44.33594601	I	1978.00	1996.00	19.00	0.00
S-03003600902	Beaver River	Grey Cnty Rd 30, S of Kimberley	-80.54015148	44.34604251	A	1978.00	2016.00	34.00	5.00
S-03004000102	Mountain Stream West Branch	Hwy 26, W Branch, E of Thornbury	-80.38842636	44.53578514	I	1965.00	1971.00	7.00	0.00
S-03004100102	Mountain Stream East Branch	Hwy 26, E Branch, E of Thornbury	-80.38254486	44.53611364	I	1965.00	1971.00	7.00	0.00
S-03004700102	Silver Creek	Hwy 26, W of Collingwood	-80.27705848	44.51964864	A	1966.00	2016.00	42.00	9.00
S-03004700202	Silver Creek	Mountain Rd, W of Collingwood	-80.27786173	44.49892589	I	1966.00	1975.00	7.00	3.00
S-03004900102	Black Ash Creek	Hwy 26, High St, W of Collingwood	-80.23580373	44.50618689	A	1972.00	2016.00	17.00	28.00
S-03004900202	Black Ash Creek West	6th St, W of Collingwood	-80.24235723	44.49003926	I	1986.00	1987.00	2.00	0.00
S-03004900302	Black Ash Creek East	6th St, W of Collingwood	-80.23834086	44.49087764	I	1986.00	1987.00	2.00	0.00
S-03005300102	Pretty River	Pretty River Parkway bridge, Collingwood	-80.19772461	44.50308626	A	1964.00	2016.00	47.00	6.00
S-03005300202	Pretty River	Simcoe Cnty Rd 124, Nottawa	-80.20905048	44.46264151	I	1975.00	1975.00	1.00	0.00
S-03005400102	Batteaux River	Hwy 26, E of Collingwood	-80.16709086	44.48831889	A	1964.00	2016.00	32.00	21.00
S-03005400202	Batteaux River	Simcoe Cnty Rd 91, W of Stayner	-80.15935298	44.40513139	I	1975.00	1975.00	1.00	0.00
S-03005700102	Boyne River	3rd Ln, Essa Twp, E of Alliston	-79.84437786	44.16080364	I	1964.00	1983.00	9.00	11.00
S-03005700202	Boyne River	Simcoe Cnty Rd 15, King St, Alliston	-79.87918698	44.15341414	I	1967.00	1988.00	7.00	15.00
S-03005700302	Boyne River	Conc 7, Tosorontio Twp, Earl Rowe Prov. Park	-79.89683998	44.15272176	I	1967.00	1990.00	24.00	0.00
S-03005700402	Pine River	Dwnstrm Camp Borden STP	-79.89816623	44.30234714	I	1966.00	1971.00	6.00	0.00
S-03005700502	Pine River	Upstrm Camp Borden STP	-79.90078823	44.30045439	I	1966.00	1990.00	25.00	0.00
S-03005700602	Nottawasaga River	Mosely St, Wasaga Beach	-80.01758711	44.52349114	I	1968.00	1989.00	8.00	14.00
S-03005700683	Nottawasaga River	Mosely St, Wasaga Beach	-80.01758811	44.52349151	I	1973.00	1995.00	23.00	0.00
S-03005700702	Boyne River	Simcoe Cnty Rd 10, dwnstrm Alliston	-79.82948636	44.16306064	A	1970.00	2016.00	46.00	1.00
S-03005700902	Lamont Creek	Hwy 26, King St, Stayner	-80.09668648	44.42146551	I	1972.00	2004.00	33.00	0.00
S-03005701002	Pine River	Upstrm Nottawasaga River, Mill St, Angus	-79.88647448	44.31854764	A	1972.00	2016.00	45.00	0.00
S-03005701102	Boyne River	Dufferin Cnty Rd 124, E of Shelburne	-80.18897986	44.08509239	I	1972.00	1995.00	22.00	2.00
S-03005701202	Boyne River	Mulmur Melancthon Twnln, NE of Shelburne	-80.17684448	44.10734376	I	1972.00	1995.00	22.00	2.00
S-03005701302	Beeton Creek	10th Sdrd, Patterson St, N of Beeton	-79.78511323	44.09518314	I	1972.00	1987.00	7.00	9.00
S-03005701402	Beeton Creek	10th Line, New Tecumseh, N of Beeton	-79.77135998	44.10783514	I	1972.00	1997.00	23.00	3.00
S-03005701502	Boyne River Tributary	Conc 6, Tosorontio Twp	-79.91413348	44.15282626	I	1974.00	1974.00	1.00	0.00
S-03005701602	Boyne River	Hwy 10 and 89, Shelburne	-80.19478611	44.08027226	I	1975.00	1978.00	4.00	0.00
S-03005701702	Nottawasaga River	3rd Rd Ln, Adjala Twp	-79.94018836	44.04441439	I	1975.00	1977.00	3.00	0.00
S-03005701802	Sheldon Creek	3rd Rd Ln, Adjala Twp	-79.95194673	44.09200876	I	1975.00	1975.00	1.00	0.00
S-03005701902	Boyne River	Mulmur Tosorontio Twnln, E of Mansfield	-80.00225273	44.16426426	I	1975.00	1977.00	3.00	0.00
S-03005702002	Pine River	Mulmur Tosorontio Twnln	-80.01085411	44.19718939	I	1975.00	1996.00	7.00	15.00
S-03005702102	Mad River	Conc 3, Tosorontio Twp, NE of Glencairn	-80.00167986	44.30520214	A	1975.00	2016.00	42.00	0.00
S-03005702202	Mad River	Simcoe Cnty Rd 9, upstrm Creemore	-80.13527886	44.32460826	I	1975.00	1977.00	3.00	0.00
S-03005702302	Nottawasaga River	Hwy 26, Edenvale	-79.89842711	44.45196964	I	1977.00	1990.00	14.00	0.00
S-03005702402	Beeton Creek	Simcoe Cnty Rd 10, N of Tottenham	-79.81122698	44.04108851	I	1977.00	2002.00	26.00	0.00
S-03005702502	Nottawasaga River	Klondike Park Rd, upstrm Wasaga Beach	-80.00712811	44.47547451	A	1982.00	2016.00	35.00	0.00
S-03007000102	Wye River	Highway 12, South East of Midland	-79.84539798	44.73597889	I	1973.00	1993.00	21.00	0.00
S-03007000202	Wye River	County Road No. 6 S, North of Elmvale	-79.89530561	44.61703214	I	1977.00	1993.00	17.00	0.00
S-03007300102	Hog creek	Hwy 12, East of Midland, South of Port McNicoll	-79.78531161	44.73951151	I	1973.00	1975.00	3.00	0.00
S-03007500102	Sturgeon River	Highway 12, Sturgeon Bay	-79.73292736	44.73202576	I	1973.00	1977.00	5.00	0.00
S-03007600102	Coldwater River	CNR bridge, Coldwater	-79.64442573	44.70952989	I	1973.00	1993.00	21.00	0.00
S-03007600202	North river	Simcoe Cnty Rd 17 (Upper Big Chute Rd) Lovering	-79.62593711	44.75221489	I	1973.00	1987.00	6.00	9.00
S-03007700102	Holland River	Queensville Rd, River Drive Park	-79.50425248	44.12649964	I	1965.00	1995.00	30.00	1.00
S-03007700202	Holland River	Reg Rd 1, Bradford	-79.54583973	44.11323614	A	1965.00	2016.00	44.00	8.00
S-03007700302	Holland River	Green Lane, Newmarket	-79.45489648	44.07975764	I	1964.00	2005.00	32.00	10.00
S-03007700402	Drainage Canal	Hwy 9, Holland Marsh, W of Hwy 400	-79.60492286	44.02686689	I	1967.00	1995.00	28.00	1.00
S-03007700502	Drainage Canal	Conc 5, Holland Marsh, E of Hwy 400	-79.58362736	44.03899051	I	1967.00	1995.00	28.00	1.00
S-03007700602	Holland River	Mulock Dr, Newmarket	-79.45936261	44.04005851	I	1965.00	1995.00	30.00	1.00
S-03007700702	Aurora Creek	Yonge St, N of St. Andrews College, Aurora	-79.47285473	44.02220026	A	1964.00	2016.00	45.00	8.00
S-03007700802	Black River	Hedge Rd, Sutton	-79.34614111	44.32230801	I	1965.00	1995.00	31.00	0.00
S-03007700902	Uxbridge Brook	Dwnstrm Uxbridge STP outfall	-79.12088823	44.11546214	I	1965.00	1971.00	7.00	0.00
S-03007701002	Beaverton River	Mouth at Lake Simcoe, Beaverton	-79.16439998	44.43220001	I	1964.00	1987.00	9.00	15.00
S-03007701102	Beaverton River	Sideroad 18A, Cannington	-79.05513573	44.35208264	I	1964.00	1990.00	27.00	0.00
S-03007701202	Canal Lake Outlet	Bolsover Rd, N of Cnty Rd 48, Bolsover	-79.07499873	44.53386889	I	1967.00	1994.00	28.00	0.00
S-03007701302	Severn River	Outlet of Gloucester Pool, dam at Port Severn	-79.72022748	44.80375139	A	1968.00	2016.00	41.00	8.00
S-03007701402	Uxbridge Brook	Sandy Hook Dr, 1st rd dwnstrm Uxbridge STP	-79.12261036	44.12138426	I	1969.00	1993.00	25.00	0.00
